participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
1,1,0,42,28,11,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,-1,1,-1,1,-1,0,-1,-1,1,0,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,43,29,11,1,1,1,1,1,1,-1,1,1,0,-1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,0,1,0,1,1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,0,42,25,6,1,1,1,1,1,1,-1,1,1,-1,-1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,-1,-1,0,1,1,0,0,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,0,52,34,10,1,0,1,1,1,1,-1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,0,1,-1,1,-1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,-1,1,-1,,,0
6,0,1,43,28,9,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,0,-1,0,1,1,1,1,1,-1,1,1,0,0,0,1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,0,42,12,2,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,-1,0,0,1,0,1,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,42,31,11,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,42,28,9,1,1,0,1,1,1,-1,1,1,1,0,1,1,1,1,1,1,-1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,42,30,8,1,1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,0,-1,1,1,1,1,0,1,1,1,1,1,-1,0,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,42,32,8,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,0,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,0,42,22,7,1,1,1,0,1,1,-1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,42,29,8,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,1,-1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,42,27,13,1,1,1,1,1,1,0,1,1,-1,1,0,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,42,30,10,1,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,42,31,10,1,1,1,1,1,1,-1,1,1,1,1,0,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,0,42,14,28,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,42,29,12,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,0,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,0,7,7,0,1,,,1,,,,,,,,,,,1,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,42,32,9,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,0,1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,0,42,25,16,1,-1,1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,0,-1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,42,27,13,1,1,1,1,1,1,-1,1,1,-1,1,0,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,0,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,0,42,30,9,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,0,42,25,7,1,1,1,0,1,1,-1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,42,28,12,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,1,43,26,15,1,1,1,0,1,1,-1,1,1,0,1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,0,42,26,8,1,1,1,0,1,1,-1,1,1,0,1,1,0,1,1,1,0,-1,1,0,1,1,0,1,0,1,1,1,0,-1,1,-1,1,-1,-1,1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,0,42,24,16,1,1,1,1,-1,1,-1,1,1,-1,-1,1,0,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,-1,1,0,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,1,43,32,10,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
35,1,0,42,26,12,1,1,1,1,1,1,-1,0,1,1,-1,1,0,0,1,1,0,-1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,0,52,30,14,1,-1,-1,1,1,1,1,-1,0,0,1,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,0,1,0,1,0,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,,,,,,,,,,,,,,,,,1,1,1,0,1,1,0,1,0,,,1
39,0,0,42,32,10,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
