participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
69,1,0,14,6,6,1,-1,1,,1,1,1,0,-1,-1,-1,-1,-1,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,0,2,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,0,8,2,4,-1,1,,,-1,,,0,,,1,,,,,,,,,,0,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,0,5,2,3,1,,,,,1,,,-1,,,-1,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,0,20,11,4,1,,1,1,,1,1,1,-1,-1,,0,0,,,,,,0,,1,,,,-1,,-1,,1,0,,,1,,0,,1,,,,,,,,,,1,,,,,,,
83,0,0,13,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1,0,9,4,3,1,,,,,,1,,,,-1,0,,,,,,,,,1,,,,-1,,,,1,-1,,,,,,,0,,,,,,,,,,,,,,,,,
92,0,1,22,10,6,1,1,0,-1,-1,0,0,0,,1,,1,1,,,,,,1,,-1,,,,1,-1,1,,-1,0,,,-1,,1,,0,,,1,,,,,,,,,,,,,,
96,1,1,24,9,13,-1,-1,1,,1,,-1,,-1,-1,-1,-1,-1,,,,,,1,,1,,,,-1,1,-1,,1,0,,,1,,-1,,-1,,,,,,,1,0,-1,1,,,,,,,
99,0,0,10,3,6,0,-1,,,-1,-1,,-1,1,,-1,1,,,,,,,,,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
102,0,0,15,9,3,0,1,1,,1,1,1,1,,1,0,,1,,,,,,0,,-1,,,,-1,,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,0,13,9,4,-1,,,1,,,1,1,,-1,-1,1,,,,,,,1,,1,,,,,,-1,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,
108,0,0,7,2,5,-1,,,,,,-1,,,,,,1,,,,,,,,,,,,1,-1,,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,
109,0,0,9,3,3,-1,1,,,,,,0,1,,,,1,,,,,,,,0,,,,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0,1,28,13,9,0,1,-1,0,1,-1,-1,1,1,1,1,1,1,,,,,,-1,,1,,,,1,-1,-1,,0,0,,,-1,,1,,0,,,1,,,,-1,0,1,-1,,,,,,,
115,1,0,21,8,6,1,1,,,,-1,1,0,1,-1,-1,0,0,,,,,,,,1,,,,-1,-1,-1,,0,0,,,1,,0,,1,,,0,,,,,,,1,,,,,,,
118,1,0,12,8,3,1,,1,1,-1,-1,1,1,-1,0,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
192,0,0,18,8,2,0,1,,0,,1,,0,1,1,,0,1,,,,,,1,,-1,,,,1,0,,,-1,,,,,,,,,,,0,,,,0,,1,0,,,,,,,
215,0,1,29,11,13,0,-1,-1,-1,-1,0,-1,-1,1,1,1,1,1,,,,,,-1,,-1,,,,1,0,1,,-1,0,,,-1,,1,,-1,,,1,,,,-1,0,1,-1,,1,,,,,
229,1,0,29,20,9,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,,,,,,1,,1,,,,-1,1,-1,,1,-1,,,-1,,1,,1,,,1,,,,1,-1,1,1,,-1,,,,,
5728,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5806,0,0,29,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,,-1,,,,1,0,0,,0,0,,,0,,0,,0,,,0,,,,0,0,1,0,,-1,,,,,
