participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
5990,,0,6,4,1,,,-1,,,1,1,,,,,,1,,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,0,0,8,3,4,,,-1,,1,,-1,,,,1,1,,,,,,,0,,-1,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,
6003,0,0,9,6,3,,,1,,,,,,1,,,1,1,,,,,,1,,,,,,,,1,,,-1,,,-1,,,,,,,,,,,,,,-1,,,,,,,
6025,,0,2,2,0,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6040,,0,3,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,-1,,,,,,,,,
6042,,0,2,1,1,,,1,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6049,,0,2,2,0,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6061,,0,3,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
6069,,0,4,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,1,,,1,,
6114,0,0,10,4,5,,,0,,,,,,1,,1,,,,,,,,,,,,,,1,,,,-1,,,,,,-1,,-1,,,,,,,,,1,-1,,,,,-1,,
6123,0,0,8,2,0,,,0,0,,,,,,0,,0,,,,,,,,,1,,,,0,,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,
6148,,0,4,2,1,,,1,,,,,,,-1,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
6152,,0,4,3,1,,,-1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
6156,0,0,10,9,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,1,,1,,1,,,,,,-1,,1,,,,,,,,,1,,,1,,,,,
6171,0,0,13,5,4,,,1,0,1,,-1,-1,,,,,1,,,,,,,,-1,,,,0,1,-1,,,,,,1,,0,,,,,,,,,,,0,,,,,,,,
6175,0,0,7,5,2,,,1,,,1,-1,,,,,,1,,,,,,,,,,,,-1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
6176,0,0,11,7,4,,,-1,-1,1,1,,1,1,-1,,1,,,,,,,,,1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,1,,,,,
6177,,0,3,2,0,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
76,,0,6,3,3,,,,1,,,1,-1,,,1,,,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,0,3,2,0,,,,1,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5725,,0,1,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007,0,0,12,5,4,,,,-1,,,,,,,,1,1,,,,,,,,-1,,,,1,,,,-1,,,,,,0,,1,,,0,,,,,1,0,-1,,,,,,,
6014,,0,3,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,
6017,1,0,7,5,2,,,,1,1,1,,,,-1,,,,,,,,,1,,,,,,-1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6054,,0,3,2,1,,,,1,,,,,,-1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
6065,,0,6,0,0,,,,0,,,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,
6110,,0,4,4,0,,,,1,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6144,0,0,9,4,3,,,,1,-1,,,,0,,1,,,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,,,,,,,,,,,,,,,-1,,
7,,0,5,3,2,,,,,-1,,,,1,1,,1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,0,6,3,3,,,,,1,1,1,-1,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,0,11,4,3,,,,,0,0,,1,,0,-1,1,1,,,,,,,,,,,,0,1,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,
57,,0,1,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,0,1,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,0,6,1,3,,,,,-1,1,,-1,,,,,,,,,,,,,0,,,,,,-1,,,,,,0,,,,,,,,,,,,,,,,,,,,,
5703,,0,1,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5779,,0,2,2,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
5980,,0,2,0,1,,,,,0,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5983,0,0,13,8,5,,,,,1,,,1,1,1,1,-1,,,,,,,-1,,1,,,,1,,-1,,,-1,,,1,,,,-1,,,,,,,,,,,,,,,,,
6032,,0,4,4,0,,,,,1,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6039,1,0,8,3,2,,,,,1,,0,,,,-1,,,,,,,,,,,,,,,,,,1,0,,,1,,,,,,,,,,,,,,0,,,,,-1,,
6047,,0,1,0,1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6106,0,0,8,5,2,,,,,1,1,-1,,0,1,,1,,,,,,,,,-1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
6117,,0,4,3,1,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
6127,,0,3,1,0,,,,,1,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6142,,0,6,2,3,,,,,1,1,,,-1,0,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153,,0,5,3,1,,,,,0,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,
6,,1,3,2,1,,,,,,1,,,,,-1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
5992,,0,2,1,1,,,,,,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6019,,0,2,2,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
6021,0,0,9,6,2,,,,,,1,0,,,1,,,,,,,,,-1,,,,,,,-1,,,,,,,,,1,,,,,,,,,,,1,,,1,,,1,,
6087,,0,4,4,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,
6089,,0,5,3,2,,,,,,-1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,-1,,,,,,,,,,,1,,,,,,,,
6116,,0,3,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,
6149,,0,2,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6161,,0,4,3,1,,,,,,-1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,
6168,,0,3,1,2,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,-1,,,,,
6174,,0,4,3,0,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,
10,,0,2,0,0,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,0,2,1,1,,,,,,,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,0,1,0,1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,0,3,0,3,,,,,,,-1,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5981,,0,2,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,
6020,,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6029,,0,2,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
6060,,0,1,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6063,,0,2,0,2,,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6101,0,0,7,3,4,,,,,,,1,,,,-1,,,,,,,,,,,,,,-1,1,,,,,,,-1,,,,-1,,,,,,,,,,,,1,,,,,
6151,,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,0,1,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,0,6,6,0,,,,,,,,1,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
43,,0,3,2,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,
93,,0,1,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,1,4,3,1,,,,,,,,1,,,,,,,,,,,,,-1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,
6012,1,0,13,3,10,,,,,,,,-1,-1,-1,-1,-1,,,,,,,,,1,,,,-1,,,,,,,,,,-1,,1,,,,,,,1,-1,,,,-1,,,-1,,
6072,,0,3,1,2,,,,,,,,-1,,1,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6076,,0,6,3,3,,,,,,,,1,,,-1,-1,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
6093,,0,4,0,0,,,,,,,,0,,,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6169,0,0,13,10,1,,,,,,,,1,1,0,,1,,,,,,,1,,,,,,1,1,1,,1,,,,,,,,1,,,,,,,,,1,,,-1,,,0,,
97,,1,2,1,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
6005,,0,3,3,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,
6015,,0,4,2,1,,,,,,,,,1,,,,,,,,,,0,,,,,,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
6038,,0,2,1,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
6102,,0,2,1,1,,,,,,,,,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112,,0,2,1,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
6115,,0,2,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
6119,,0,3,1,1,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,
6125,,0,4,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,
6138,,0,2,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
6159,,0,1,0,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6181,,0,1,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,0,3,0,2,,,,,,,,,,-1,0,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
107,,0,2,0,1,,,,,,,,,,-1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6023,,0,2,1,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6050,,0,3,1,0,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
6103,,0,4,0,0,,,,,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
6113,,0,4,2,1,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,-1,,,,,,,,,,,,,,,,,1,,,,,,,,
6164,,0,1,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6172,,1,4,2,1,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1
6178,,0,6,4,1,,,,,,,,,,1,,1,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,
111,,0,1,0,1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6011,0,0,7,5,2,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,-1,,,,,,,,1,,,,,,,,1,,-1,,1,,,,,
6024,,0,6,3,2,,,,,,,,,,,1,1,,,,,,,,,,,,,1,-1,,,,,,,,,,,,,,0,,,,-1,,,,,,,,,,
6057,,0,4,0,0,,,,,,,,,,,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
6066,,0,4,2,2,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,-1,,,,,,,,,,,-1,,,,,,,,,,,,,,
6108,,0,1,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,0,3,0,2,,,,,,,,,,,,0,,,,,,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,0,1,0,1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,0,2,2,0,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,0,5,1,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,-1,,0,,,,0,,,,1,,,,,,,,,,,,,,,,,
5759,,0,1,1,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6043,,0,1,1,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6048,,0,2,0,1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
6099,,0,3,1,1,,,,,,,,,,,,-1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6146,,0,3,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
6166,,0,3,2,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,1,,,,,,,
9,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,0,1,0,1,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,0,2,0,2,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,
5724,,0,2,0,2,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,
6022,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6030,,0,2,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6055,,0,1,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6124,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6163,,0,1,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,0,1,1,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,0,1,1,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,,0,5,5,0,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,
6044,,0,3,3,0,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
6141,,0,1,0,1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6094,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5576,,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,-1,,,,,,,,,
5764,,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
5994,,0,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
6045,,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
6059,,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,
6150,,0,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,-1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,
6182,,0,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,
6036,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6052,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6091,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118,,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
6132,,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,
213,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5715,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6046,,0,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,-1,,,,,,,,,,,,,,,,,,,-1,,
6086,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6092,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6098,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6070,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
6173,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
5746,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
5575,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,
6129,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,
6179,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,
6027,,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,1,0,,,,,,,,
6062,,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
85,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6041,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
6064,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
6143,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6157,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
5702,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
5993,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
6009,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
6034,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,
6080,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
5982,,0,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,1,,,,,
6026,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
6028,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
6075,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
6018,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
6071,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
6109,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
6145,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
6058,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,
4824,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,
6121,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,
5834,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
5837,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
6095,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
