topic,Improving Bowling Green / Warren County
url,https://pol.is/9wtchdmmun
views,2031
voters,2031
voters-in-conv,2031
commenters,403
comments,896
groups,2
conversation-description,"What do you believe should change in Bowling Green/Warren County in order to make it a better place to live, work and spend time?"
