timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1651744336822,Thu May 05 16:52:16 WIB 2022,1037,0,29,4,1,"In bestehenden Fern/Nahwärmenetzen soll es die Möglichkeit geben, ""eigene"" Wärme lokal/dezentral einzuspeisen zu können."
1651655403844,Wed May 04 16:10:03 WIB 2022,913,1347,1,0,-1,KEIN  Gas + Öl Stoppfür Ö. Das erhönt nur die Armut und ARBEITSLOSIGKEIT
1651502303840,Mon May 02 21:38:23 WIB 2022,824,490,1,0,-1,"PV-Anlagen oberhalb der winterlichen Nebelgrenzen auf Ost-,Süd-, Westhänge und in der Nähe von Wasserspeichern bauen (HYDROSOLARKRAFTWERK)"
1651500819187,Mon May 02 21:13:39 WIB 2022,823,1256,1,0,-1,"DIe Netzgebühr der EVN war jahrelang zu hoch -jetzt muss das Netz verstärkt werden, ohne Mehrkosten für die Nutzer!"
1651489216037,Mon May 02 18:00:16 WIB 2022,766,1256,40,4,1,PVC Verzicht und ökologischer Materialeinsatz bei Sanierung u Neubau sind wichtig!
1651488945897,Mon May 02 17:55:45 WIB 2022,763,1256,1,0,-1,Förderungen dürfen nicht einfach von der Politik abgedreht werden.
1651488678695,Mon May 02 17:51:18 WIB 2022,761,1256,1,0,-1,PV auf Dächern sind Windrädern gegenüber zu bevorzugen.
1651488643999,Mon May 02 17:50:43 WIB 2022,760,1256,1,0,-1,PV Anlagen für Private sollen bis 15kwPeak jederzeit eine Förderung bekommen - ohne mühsames Anmeldeverfahren bei der ÖMAG!
1651488561397,Mon May 02 17:49:21 WIB 2022,759,1256,1,0,-1,Die Pelletspreise dürfen nicht an die Gaspreise gekoppelt sein - Pellets sind aus Holz (nachwachsend)  haben N I C H T S mit Gas zu tun!
1651487929112,Mon May 02 17:38:49 WIB 2022,758,1240,34,4,1,Strom aus Flusskraftwerken sollte nachts Wasser in Hochspeicher pumpen und bei erhöhtem Energiebedarf zusätzlichen Strom erzeugen.
1651482781268,Mon May 02 16:13:01 WIB 2022,751,1163,1,0,-1,Energiesparpotential: Krematorien statt mir Gas mit gebündeltem Sonnenlicht betreiben. Dann könnte man wirklich ins Licht gegangen sein.
1651486400580,Mon May 02 17:13:20 WIB 2022,757,490,31,7,1,"Mehrheitsmeinung von A (?): ""Das Klima kann der Mensch nicht ändern""; Wir beweisen leider gerade, dass wir es doch können! Das sind Fakten!"
1651483377262,Mon May 02 16:22:57 WIB 2022,752,360,1,0,-1,Straßenumbauten in Wien (zB Mahü-neu) stoppen! Bringt nix und wird bald wieder aufgerissen.
1651482524019,Mon May 02 16:08:44 WIB 2022,750,1234,25,4,1,Quartierspeicher können Strom von mehreren PV Anlagen günstiger speichern und entlasten die Stromnetze.
1651472587340,Mon May 02 13:23:07 WIB 2022,748,1222,1,0,-1,HYDROSOL ARKRAFTWERERK.com  Wasserspeicher mit Solarenergie aufladen und dann je nach Bedarf Strom abgeben/erzeugen.
1651484666408,Mon May 02 16:44:26 WIB 2022,756,1241,29,3,1,Windkraftwerke entsprechend der Lebensdauer anstatt der Förderungsdauer nutzen - erst danach Repowering!
1651483755140,Mon May 02 16:29:15 WIB 2022,755,1234,19,6,1,"verpflichtende Quote für Bio-Methan Anteil im Gasnetz, damit mehr Biogasanlagen errichtet werden."
1651483695887,Mon May 02 16:28:15 WIB 2022,754,1240,4,2,-1,"Wasserkraftstrom ist eine saubere Energie und immer verfügbar. Er ist in Überschusszeiten anderen Fallweisequellen (PV, Wind) vorzuziehen."
