topic,HiveMind - Freshwater Quality in NZ
url,https://pol.is/5psrv8bm2a
views,117
voters,117
voters-in-conv,117
commenters,15
comments,80
groups,2
conversation-description,"This HiveMind is now closed. Thank you to the 117 participants who voted and submitted statements. 

The graphic visualisation below shows the participants grouped in clusters based on shared opinions."
