participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
32,0,0,18,11,7,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,0,18,7,7,-1,1,0,-1,0,-1,-1,-1,1,1,-1,1,-1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,0,18,9,9,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,18,10,8,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,0,18,10,7,-1,1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,1,30,17,13,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,,
38,0,0,18,7,9,-1,1,-1,-1,-1,-1,0,-1,1,0,-1,-1,-1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,0,20,10,9,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,0,18,10,6,-1,1,1,-1,1,-1,-1,1,0,1,-1,1,-1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,0,18,10,8,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,0,18,9,6,-1,1,-1,-1,0,0,-1,0,1,1,-1,1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,0,19,7,5,-1,1,0,-1,0,-1,0,0,0,0,1,1,-1,1,1,-1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,1,30,14,14,-1,1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,0,0,,,,,,,,,,,,,,,,,,,,
